Sno,Profile,Company,Location,Start Date,Duration,Stipend,Apply By,About Internship,Skills Required,Who Can Apply,About Company
1,Founders Office Internship,ProcureYard,Bangalore,Immediately,6 Months,"? 20,000-30,000 /month",16 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Communication: Create and manage a strong reputation by demonstrating consistent and clear communication between internal and external parties - clients, team, and investors
2. Financial institutes Relationship building, negotiating, and constructing a deal
3. Hiring: Handle end-to-end hiring of interns to senior profiles whenever required by the company
4. Investor relations: Develop and implement a robust investor acquisition & retention strategy and framework
5. Founder Ops: Setting up and managing meetings with various stakeholders like investors, clients, internal teams, etc.
6. Research & presentation: You will be required to do market, funding, and sales-related research, analysis, documentation, and presentation","['Business Analysis', 'Business Research', 'Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Report Writing']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 15th Sep'24 and 20th Oct'24
3. are available for duration of 6 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.",We are building India's first AI-enabled smart platform for raw material procurement for Indian construction and infra SMEs.
2,Performance Marketing,Li-Ning Studio,Bangalore,Immediately,1 Month,"? 10,000 /month",16 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Assist in the execution of performance marketing campaigns across various digital platforms (Google Ads, Meta Ads, etc.) (Training will be provided if necessary).
2. Analyze campaign performance data using excel (training will be provided if necessary).
3. Monitor and report on key performance metrics, providing actionable recommendations.","['Advanced Excel', 'Facebook Ads', 'Google Analytics']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 16th Sep'24 and 21st Oct'24
3. are available for duration of 1 month
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Li-Ning Studio is the e-commerce wing of Sunlight Sports, the exclusive distributor of Li-Ning in Singapore, India, Malaysia, Indonesia, Thailand, Dubai, and many other countries. Li-Ning specializes in the manufacturing of premium badminton goods and provides high-quality badminton gear and equipment. Founded in 1990 by champion gymnast Mr. Li Ning, we have come a long way and have catered to athletes all around over the years and continue to do so. Our constant endeavor is to bring out the best in our athletes by providing them with the best equipment. We believe in innovation. By driving perpetual research and development, we are able to provide the most forward-thinking products, experiences, and services while using cut-through technologies and materials. At LN-Studio you find everything badminton. From high-quality racquets and shuttlecocks to premier bags and shoes, and much more."
3,Field Sales,Sports For All,Hyderabad,Immediately,2 Months,"? 20,000 /month",16 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Volunteers will have to travel across the cities to various schools and conduct registration drives with the sales team.
2. Make sales calls to a wide variety of contacts, including school principals, parent/teacher organizations, yearbook advisors, student groups, coaches, athletic directors, or league sports administrators.
3. Create brand awareness by visiting multiple schools and academies.
4. Meet sports coaches and briefing them about SFA.","['Effective Communication', 'MS-Excel', 'Sales']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 16th Sep'24 and 21st Oct'24
3. are available for duration of 2 months
4. have relevant skills and interests","Sports for All (SFA), a fully integrated digital plus on-ground multi-sport platform, is the official partner of the Indian Team for the Olympics, the Commonwealth Games, and the Asian Games. With the belief that potential can only be translated into performance if sport finds support at the grassroots level itself, we launched the SFA Championships in 2015. This tech-enabled, multi-discipline, regional sports tournament truly revolutionized sports at the school level. Enabling us to nurture, monitor, and groom future champs from a very young age.We are endeavoring to build India's largest multi-sport technology and media platform. On the ground, we execute our own SFA Championships, which is an Olympics-style school sports championship where 15000 children from 500+ schools compete in 30 disciplines of the sport to crown the best school for sport in a city. We are currently in Mumbai and Hyderabad and will take this to over 25 cities in the next 3 years."
4,Founders Office,Medonomy,Noida,Immediately,6 Months,"? 10,000 /month",16 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Support strategic initiatives: Assist in developing and implementing strategic programs aligned with company goals and the founder's vision.
2. Project planning and monitoring: Collaborate with the founder to design and implement project plans, monitor progress, and identify solutions for potential roadblocks.
3. Communication and reporting: Provide regular progress reports and insights to the founder, conveying complex ideas clearly both internally and externally.
4. Operational support: Assist in the development and execution of organizational strategies, policies, and initiatives, streamlining processes for overall efficiency.
5. Research and analysis: Conduct thorough research on industry trends, competitors, and relevant technologies to inform the founder of strategic decision-making.
6. Cross-functional collaboration: Collaborate with internal and external stakeholders, track project progress, and resolve issues in coordination with cross-functional teams.
7. Meeting preparation: Schedule, organize and prepare materials for key internal and external meetings, capture minutes, and action items, and follow up on outstanding tasks.
8. Adaptability: Be prepared to handle various tasks and responsibilities, adapting to the dynamic needs of a startup environment.","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Informal dress code', '5 days a week', 'Free snacks & beverages', 'Job offer']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 15th Sep'24 and 20th Oct'24
3. are available for duration of 6 months
4. have relevant skills and interests","Medonomy: India's First Integration Platform for Healthcare Professionals and Brands At Medonomy, we revolutionize the industry by uniting healthcare professionals with leading brands to innovate and elevate health products.  We're dedicated to building the best healthcare brands in India, backed by expert insights from top professionals. By fostering collaboration, we drive innovation and aim to improve patient care. Join us in transforming the future of healthcare and making a lasting impact on millions of lives."
5,UI/UX Design,Vayuz Technologies Private Limited,Noida,Immediately,6 Months,"? 8,000 /month",16 Oct' 24,"1. Collaborate with stakeholders to understand user needs, business goals, and project requirements.
2. Develop innovative ideas for user interfaces and experiences.
3. Create wireframes, storyboards, and user flows to communicate design concepts effectively.
4. Deliver high-quality, responsive UI designs for web and mobile platforms.
5. Utilize tools like Figma and Adobe XD to produce detailed visual designs and prototypes.
6. Translate design ideas into functional prototypes and work with developers to ensure seamless integration.
7. Conduct user research and usability testing to gather insights and validate designs.
8. Analyze feedback and user data to inform design improvements.
9. Continuously refine designs based on testing and feedback.
10. Collaborate closely with product managers and developers to align design with project goals.
11. Participate in design reviews, providing and receiving constructive feedback.
12. Present and communicate design concepts to the team and stakeholders.","['Adobe XD', 'Figma', 'PROTOTYPING', 'Sketch', 'UI & UX Design', 'Wireframing']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 16th Sep'24 and 21st Oct'24
3. are available for duration of 6 months
4. have relevant skills and interests","Vayuz was founded with a clear mission to build global and scalable technology products by bringing world-class engineers and designers together as a solid team that shares a deep passion for technology. We are committed to building a better world by deploying inclusive solutions. One of our popular products is Bitovn-a powerful social engine, which is powering large communities across the globe. Our co-founders have prior experience in building a funded ed-tech startup, doing an Indian IPO listing, and handling large-scale portfolios of Fortune 500 companies."
6,Marketplace & Strategy,Project Studio,Gurgaon,Immediately,6 Months,"? 30,000 /month",16 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Marketplace order management: Oversee the end-to-end process for orders placed through the marketplace, including order placement, tracking, and coordination with vendors to ensure timely and accurate fulfillment.
2. SOP development: Develop detailed SOPs for marketplace order management, covering key areas such as material discovery, order placement, vendor communication, and tracking of orders within the marketplace platform.
3. Process optimization: Analyze current marketplace workflows, identify inefficiencies, and propose improvements to streamline order handling and enhance the overall customer experience.
4. Vendor coordination: Act as the primary liaison with vendors on the marketplace, ensuring their products are accurately listed, orders are fulfilled, and any issues or discrepancies are promptly resolved.
5. Data management: Maintain and manage accurate records of marketplace orders, delivery timelines, and vendor performance metrics to ensure smooth operations.
6. Reporting and Analysis: Generate performance reports related to marketplace orders, including order accuracy, fulfillment rates, vendor reliability, and customer satisfaction metrics.
7. Collaboration: Work closely with the marketplace development team to provide feedback on order management features and suggest enhancements to improve vendor and customer experiences.
8. Customer support: Assist design studios using the marketplace with order-related inquiries, ensuring a smooth, reliable, and satisfactory order experience through the platform.","['Effective Communication', 'Lead Generation', 'MS-Excel', 'Negotiation & Problem-solving', 'Product Strategy', 'Sales']","Only those candidates can apply who:
1. are available for the part time job/internship
2. can start the part time job/internship between 16th Sep'24 and 21st Oct'24
3. are available for duration of 6 months
4. have relevant skills and interests","We are a stealth startup building a vertical SaaS platform for design studios. We were founded by alumni of IIT Roorkee and BITs Pilani having over 10 years of deep experience in the vertical.  Our platform integrates project management, team collaboration and management, sourcing marketplace, and advanced AI features to streamline the workflow of independent design studios. We are looking for a motivated Fullstack Intern who is passionate about technology and eager to contribute to a dynamic and innovative environment."
7,Search Engine Optimization (SEO),Sfaira Infotech Private Limited,Delhi,Immediately,4 Months,"? 8,000-12,000 /month",30 Sep' 24,"Selected intern's day-to-day responsibilities include:
1.Assist in keyword research and analysis
2.Learn and implement on-page and off-page SEO techniques
3.Support the SEO team in optimizing website content and meta tags
4.Stay up-to-date with the latest trends and best practices in SEO","['Digital Marketing', 'English Proficiency (Written)', 'Google Analytics', 'Search Engine Optimization (SEO)']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 16th Sep'24 and 21st Oct'24
3. are available for duration of 4 months
4.  are from or open to relocate to Delhi and neighboring cities
5. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Sfaira Infotech Private Limited is a digital marketing company based in Delhi, India. With a team of skilled professionals, we specialize in providing comprehensive online marketing solutions to businesses. Our services include SEO, PPC advertising, social media marketing, and content creation."
8,Business Development (Sales),Arnav Infotech,Delhi,Immediately,6 Months,"? 10,000 /month",16 Oct' 24,"Are you a dynamic and ambitious individual looking to kickstart your career in business development and sales? Arnav Infotech is seeking a talented business development (sales) intern who is proficient in MS Excel to join our team. As an intern, you will have the opportunity to work closely with our sales team to drive company growth and revenue.
Selected intern's day-to-day responsibilities include:
1. Conduct market research to identify potential clients and opportunities for business expansion.
2. Visit and connect with the government department officials for any inquiry of order.
3. Build relationships with the officials to get orders in the long term.
4. Get direct orders on GeM (government e-marketplace) from the customers.
5. Assist in creating and maintaining sales reports and dashboards using MS Excel.
If you are a self-starter with excellent communication skills and a passion for sales, we want to hear from you! Join us at Arnav Infotech and gain valuable experience in the exciting world of business development. Apply now and take the first step towards a successful career in sales.","['Effective Communication', 'MS-Excel']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 14th Sep'24 and 19th Oct'24
3. are available for duration of 6 months
4. have relevant skills and interests","We are providing IT products (desktop/laptop/printer, etc.) and many more products to government organizations in PAN India through GeM portal."
9,Technical Content Writer,Bosscoder Academy,Noida,Immediately,6 Months,"? 15,000 /month",16 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Content Creation:  Write, edit, and proofread a variety of technical documents including but not limited to user manuals, API documentation, release notes, whitepapers, and blog posts.
2. Research & Analysis:  Conduct thorough research on complex technical topics and collaborate with subject matter experts to ensure accuracy and depth in your content.
3. Audience Understanding:  Tailor content to meet the needs of different audiences including technical users, developers, and non-technical stakeholders.
4. Feedback & Revisions:  Incorporate feedback from stakeholders and make necessary revisions to ensure clarity, accuracy, and effectiveness of content.
5. Documentation Standards:  Maintain and adhere to company documentation standards and style guides","['Content Writing', 'Creative Writing', 'English Proficiency (Spoken)', 'English Proficiency (Written)']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 16th Sep'24 and 21st Oct'24
3. are available for duration of 6 months
4. have relevant skills and interests","Bosscoder Academy is an online academy that provides personalized courses and assistance to tech engineers to help them become one of the best software engineers in the world. When you enroll with Bosscoder, you get a fully online and personal learning focusing on building problem solving & system design skills to help grab dream tech company offers."
10,Customer Service/Customer Support,Tessel Technologies,Bangalore,Immediately,1 Month,"? 5,000 /month",30 Sep' 24,"Selected intern's day-to-day responsibilities include:
1. Provide timely and effective assistance to users facing issues with the Cartking app on Shopify
2. Develop a deep understanding of Cartking's features, updates, and functionalities to provide accurate information and guidance to users
3. Maintain detailed records of customer interactions, issues, and resolutions
4. Collect feedback from users regarding their experiences with the Cartking app","['English Proficiency (Spoken)', 'English Proficiency (Written)', 'HTML&CSS', 'JavaScript']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 16th Sep'24 and 21st Oct'24
3. are available for duration of 1 month
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","CartKing, developed by Tessel Technologies, is a rapidly growing SaaS startup operating in the e-commerce domain. Our primary focus is assisting e-commerce owners in achieving enhanced sales performance. Since its launch in February 2023, CartKing has already garnered a user base spanning over 27 countries. Presently, our platform is integrated with Shopify, which has experienced significant growth over the past decade."
